WARN: config section [inbucket] is deprecated. Please use [local_smtp] instead.
Initialising login role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260531172618 | 20260531172618 | 2026-05-31 17:26:18 
   20260531174136 | 20260531174136 | 2026-05-31 17:41:36 
   20260601004000 | 20260601004000 | 2026-06-01 00:40:00 
   20260601005000 | 20260601005000 | 2026-06-01 00:50:00 
   20260601012000 | 20260601012000 | 2026-06-01 01:20:00 
   20260601013000 | 20260601013000 | 2026-06-01 01:30:00 
   20260601102000 | 20260601102000 | 2026-06-01 10:20:00 
   20260601105500 | 20260601105500 | 2026-06-01 10:55:00 
   20260601113000 | 20260601113000 | 2026-06-01 11:30:00 
   20260601123000 | 20260601123000 | 2026-06-01 12:30:00 
   20260601124000 | 20260601124000 | 2026-06-01 12:40:00 
   20260601131000 | 20260601131000 | 2026-06-01 13:10:00 
   20260601134000 | 20260601134000 | 2026-06-01 13:40:00 
   20260601142000 | 20260601142000 | 2026-06-01 14:20:00 
   20260601143000 | 20260601143000 | 2026-06-01 14:30:00 
   20260601150000 | 20260601150000 | 2026-06-01 15:00:00 
   20260601151000 | 20260601151000 | 2026-06-01 15:10:00 
   20260601154000 | 20260601154000 | 2026-06-01 15:40:00 
   20260601155500 | 20260601155500 | 2026-06-01 15:55:00 
   20260601161000 | 20260601161000 | 2026-06-01 16:10:00 
   20260601170000 | 20260601170000 | 2026-06-01 17:00:00 
   20260601173000 | 20260601173000 | 2026-06-01 17:30:00 
   20260601180000 | 20260601180000 | 2026-06-01 18:00:00 
   20260601190000 | 20260601190000 | 2026-06-01 19:00:00 
   20260601193000 | 20260601193000 | 2026-06-01 19:30:00 
   20260601195000 | 20260601195000 | 2026-06-01 19:50:00 
   20260601200500 | 20260601200500 | 2026-06-01 20:05:00 
   20260601204000 | 20260601204000 | 2026-06-01 20:40:00 
   20260601215000 | 20260601215000 | 2026-06-01 21:50:00 
   20260601221000 | 20260601221000 | 2026-06-01 22:10:00 
   20260601233000 | 20260601233000 | 2026-06-01 23:30:00 
   20260602185000 | 20260602185000 | 2026-06-02 18:50:00 
   20260605101500 | 20260605101500 | 2026-06-05 10:15:00 
   20260605110000 | 20260605110000 | 2026-06-05 11:00:00 
   20260605113000 | 20260605113000 | 2026-06-05 11:30:00 
   20260605123000 | 20260605123000 | 2026-06-05 12:30:00 
   20260605130500 | 20260605130500 | 2026-06-05 13:05:00 
   20260605154500 | 20260605154500 | 2026-06-05 15:45:00 
   20260605155500 | 20260605155500 | 2026-06-05 15:55:00 
   20260605161000 | 20260605161000 | 2026-06-05 16:10:00 
   20260605163500 | 20260605163500 | 2026-06-05 16:35:00 
   20260605164500 | 20260605164500 | 2026-06-05 16:45:00 
   20260605170500 | 20260605170500 | 2026-06-05 17:05:00 
   20260605171500 | 20260605171500 | 2026-06-05 17:15:00 
   20260605174000 | 20260605174000 | 2026-06-05 17:40:00 
   20260605175000 | 20260605175000 | 2026-06-05 17:50:00 
   20260606101500 | 20260606101500 | 2026-06-06 10:15:00 
